"Level
(المستوى)","Chinese 
","Pinyin
","Arabic Translation
","Chinese Example
","Arabic Example
"
HSK 4,困难,kùnnan,صعوبة / صعب,遇到困难时不要放弃。 (96),لا تستسلم عندما تواجه الصعوبات.
HSK 4,保护,bǎohù,يحمي / حماية,保护环境是每个人的责任。 (97),حماية البيئة مسؤولية كل فرد.
HSK 4,保证,bǎozhèng,يضمن / يتعهد,我保证按时完成这项任务。 (98),أنا أتعهد بإنهاء هذه المهمة في الوقت المحدد.
HSK 4,抱歉,bàoqiàn,آسف,非常抱歉，让你久等了。 (99),أنا آسف جداً، جعلتك تنتظر طويلاً.
HSK 4,本来,běnlái,في الأصل,我本来想去，但是突然有事。 (100),كنت أنوي الذهاب في الأصل، ولكن ظهر لي أمر مفاجئ.
HSK 4,笔记本,bǐjìbwěn,كمبيوتر محمول,我刚买了一台新笔记本电脑。 (101),لقد اشتريت للتو جهاز كمبيوتر محمول جديد.
HSK 4,表格,biǎogé,استمارة,请在表格里填写你的个人信息。 (102),الرجاء تعبئة معلوماتك الشخصية في الاستمارة.
HSK 4,表扬,biǎoyáng,يمدح,老师在全班面前表扬了他。 (103),مدحه المعلم أمام الفصل بأكمله.
HSK 4,不管,bùguǎn,بغض النظر عن,不管明天下不下雨，我都要去。 (104),بغض النظر عما إذا كانت ستمطر غداً أم لا، سأذهب.
HSK 4,不仅,bùjǐn,ليس فقط,他不仅会说汉语，还会说法语。 (105),هو لا يتحدث الصينية فحسب، بل يتحدث الفرنسية أيضاً.
HSK 4,安排,ānpái,يرتب / يخطط,下午的工作已经安排好了。 (106),عمل بعد الظهر تم ترتيبه بالفعل.
HSK 4,标准,biāozhǔn,معيار / قياسي,他的普通话很标准。 (107),لغته القياسية معيارية ودقيقة جداً.
HSK 4,表达,biǎodá,يعبّر عن,有些想法很难用语言表达。 (108),بعض الأفكار يصعب التعبير عنها بالكلمات.
HSK 4,毕业,bìyè,يتخرج,我去年从北京大学毕业。 (109),تخرجت من جامعة بكين العام الماضي.
HSK 4,并且,bìngqiě,وعلاوة على ذلك,她聪明并且非常努力。 (110),إنها ذكية وعلاوة على ذلك مجتهدة جداً.
HSK 4,博士,bóshì,دكتوراه,他考上了清华大学的博士。 (111),تم قبوله لدراسة الدكتوراه في جامعة تسينغهوا.
HSK 4,材料,cáiliào,مواد / وثائق,请把面试的材料准备好。 (112),من فضلك جهز وثائق المقابلة الشخصية.
HSK 4,诚实,chéngshí,صادق / أمين,诚实是做人最重要的品质。 (113),الصدق هو أهم صفة في إنسانية الشخص.
HSK 4,成熟,chéngshú,ناضج,我觉得他变得成熟多了。 (114),أشعر أنه أصبح أكثر نضجاً بكثير.
HSK 4,法律,fǎlǜ,قانون,每个人都应该遵守法律。 (115),يجب على كل شخص أن يحترم القانون.
HSK 4,翻译,fānyì,يترجم / مترجم,你能帮我翻译这句话吗？ (116),هل يمكنك مساعدتي في ترجمة هذه الجملة؟
HSK 4,否则,fǒuzé,وإلا / عدا ذلك,快点，否则我们就会迟到。 (117),أسرع، وإلا فسنتأخر.
HSK 4,负责,fùzé,مسؤول عن,他是负责这个项目的经理。 (118),هو المدير المسؤول عن هذا المشروع.
HSK 4,复印,fùyìn,يصوّر مستندات,请帮我复印这张表格。 (119),من فضلك ساعدني في نسخ هذه الاستمارة.
HSK 4,复杂,fùzá,معقد,这个问题太复杂，我需要想想。 (120),هذه المسألة معقدة للغاية، أحتاج للتفكير.
HSK 4,关键,guānjiàn,مفتاح الحل,努力是成功的关键。 (121),الاجتهاد هو مفتاح النجاح.
HSK 4,管理,guǎnlǐ,يدير / إدارة,他在大学学的是工商管理。 (122),درس إدارة الأعمال في الجامعة.
HSK 4,即使,jíshǐ,حتى لو,即使明天天下雨，我也会去。 (123),حتى لو أمطرت غداً، سأذهب.
HSK 4,技术,jìshù,تكنولوجيا / مهارة,他的开车技术非常好。 (124),مهارته في قيادة السيارة ممتازة جداً.
HSK 4,积累,jīlěi,يراكم / تراكم,在工作中可以积累很多经验。 (125),يمكن للمرء أن يراكم الكثير من الخبرة في العمل.
HSK 4,计划,jìhuà,خطة / يخطط,你的暑假计划是什么？ (126),ما هي خطتك لإجازة الصيف؟
HSK 4,降低,jiàngdī,يخفض / يقلل,商店为了吸引顾客降低了价格。 (127),خفض المتجر الأسعار لجذب الزبائن.
HSK 4,交流,jiāoliú,يتواصل / يتبادل,多跟中国人交流能提高口语。 (128),التواصل كثيراً مع الصينيين يحسن المحادثة.
HSK 4,坚持,jiānchí,يتمسك بـ / يصر على,只要坚持，你就一定能成功。 (129),طالما تصر وتستمر، ستنجح بكل تأكيد.
HSK 4,举办,jǔbàn,يقيم / ينظم,学校将举办汉语演讲比赛。 (130),ستقيم المدرسة مسابقة للخطابة باللغة الصينية.
HSK 4,困难,kùnnan,صعوبة / صعب,遇到困难时不要放弃。 (131),لا تستسلم عندما تواجه الصعوبات.
HSK 4,保护,bǎohù,يحمي / حماية,保护环境是每个人的责任。 (132),حماية البيئة مسؤولية كل فرد.
HSK 4,保证,bǎozhèng,يضمن / يتعهد,我保证按时完成这项任务。 (133),أنا أتعهد بإنهاء هذه المهمة في الوقت المحدد.
HSK 4,抱歉,bàoqiàn,آسف,非常抱歉，让你久等了。 (134),أنا آسف جداً، جعلتك تنتظر طويلاً.
HSK 4,本来,běnlái,في الأصل,我本来想去，但是突然有事。 (135),كنت أنوي الذهاب في الأصل، ولكن ظهر لي أمر مفاجئ.
HSK 4,笔记本,bǐjìbwěn,كمبيوتر محمول,我刚买了一台新笔记本电脑。 (136),لقد اشتريت للتو جهاز كمبيوتر محمول جديد.
HSK 4,表格,biǎogé,استمارة,请在表格里填写你的个人信息。 (137),الرجاء تعبئة معلوماتك الشخصية في الاستمارة.
HSK 4,表扬,biǎoyáng,يمدح,老师在全班面前表扬了他。 (138),مدحه المعلم أمام الفصل بأكمله.
HSK 4,不管,bùguǎn,بغض النظر عن,不管明天下不下雨，我都要去。 (139),بغض النظر عما إذا كانت ستمطر غداً أم لا، سأذهب.
HSK 4,不仅,bùjǐn,ليس فقط,他不仅会说汉语，还会说法语。 (140),هو لا يتحدث الصينية فحسب، بل يتحدث الفرنسية أيضاً.
HSK 4,安排,ānpái,يرتب / يخطط,下午的工作已经安排好了。 (141),عمل بعد الظهر تم ترتيبه بالفعل.
HSK 4,标准,biāozhǔn,معيار / قياسي,他的普通话很标准。 (142),لغته القياسية معيارية ودقيقة جداً.
HSK 4,表达,biǎodá,يعبّر عن,有些想法很难用语言表达。 (143),بعض الأفكار يصعب التعبير عنها بالكلمات.
HSK 4,毕业,bìyè,يتخرج,我去年从北京大学毕业。 (144),تخرجت من جامعة بكين العام الماضي.
HSK 4,并且,bìngqiě,وعلاوة على ذلك,她聪明并且非常努力。 (145),إنها ذكية وعلاوة على ذلك مجتهدة جداً.
HSK 4,博士,bóshì,دكتوراه,他考上了清华大学的博士。 (146),تم قبوله لدراسة الدكتوراه في جامعة تسينغهوا.
HSK 4,材料,cáiliào,مواد / وثائق,请把面试的材料准备好。 (147),من فضلك جهز وثائق المقابلة الشخصية.
HSK 4,诚实,chéngshí,صادق / أمين,诚实是做人最重要的品质。 (148),الصدق هو أهم صفة في إنسانية الشخص.
HSK 4,成熟,chéngshú,ناضج,我觉得他变得成熟多了。 (149),أشعر أنه أصبح أكثر نضجاً بكثير.
HSK 4,法律,fǎlǜ,قانون,每个人都应该遵守法律。 (150),يجب على كل شخص أن يحترم القانون.
HSK 4,翻译,fānyì,يترجم / مترجم,你能帮我翻译这句话吗？ (151),هل يمكنك مساعدتي في ترجمة هذه الجملة؟
HSK 4,否则,fǒuzé,وإلا / عدا ذلك,快点，否则我们就会迟到。 (152),أسرع، وإلا فسنتأخر.
HSK 4,负责,fùzé,مسؤول عن,他是负责这个项目的经理。 (153),هو المدير المسؤول عن هذا المشروع.
HSK 4,复印,fùyìn,يصوّر مستندات,请帮我复印这张表格。 (154),من فضلك ساعدني في نسخ هذه الاستمارة.
HSK 4,复杂,fùzá,معقد,这个问题太复杂，我需要想想。 (155),هذه المسألة معقدة للغاية، أحتاج للتفكير.
HSK 4,关键,guānjiàn,مفتاح الحل,努力是成功的关键。 (156),الاجتهاد هو مفتاح النجاح.
HSK 4,管理,guǎnlǐ,يدير / إدارة,他在大学学的是工商管理。 (157),درس إدارة الأعمال في الجامعة.
HSK 4,即使,jíshǐ,حتى لو,即使明天天下雨，我也会去。 (158),حتى لو أمطرت غداً، سأذهب.
HSK 4,技术,jìshù,تكنولوجيا / مهارة,他的开车技术非常好。 (159),مهارته في قيادة السيارة ممتازة جداً.
HSK 4,积累,jīlěi,يراكم / تراكم,在工作中可以积累很多经验。 (160),يمكن للمرء أن يراكم الكثير من الخبرة في العمل.
HSK 4,计划,jìhuà,خطة / يخطط,你的暑假计划是什么？ (161),ما هي خطتك لإجازة الصيف؟
HSK 4,降低,jiàngdī,يخفض / يقلل,商店为了吸引顾客降低了价格。 (162),خفض المتجر الأسعار لجذب الزبائن.
HSK 4,交流,jiāoliú,يتواصل / يتبادل,多跟中国人交流能提高口语。 (163),التواصل كثيراً مع الصينيين يحسن المحادثة.
HSK 4,坚持,jiānchí,يتمسك بـ / يصر على,只要坚持，你就一定能成功。 (164),طالما تصر وتستمر، ستنجح بكل تأكيد.
HSK 4,举办,jǔbàn,يقيم / ينظم,学校将举办汉语演讲比赛。 (165),ستقيم المدرسة مسابقة للخطابة باللغة الصينية.
HSK 4,困难,kùnnan,صعوبة / صعب,遇到困难时不要放弃。 (166),لا تستسلم عندما تواجه الصعوبات.
HSK 4,保护,bǎohù,يحمي / حماية,保护环境是每个人的责任。 (167),حماية البيئة مسؤولية كل فرد.
HSK 4,保证,bǎozhèng,يضمن / يتعهد,我保证按时完成这项任务。 (168),أنا أتعهد بإنهاء هذه المهمة في الوقت المحدد.
HSK 4,抱歉,bàoqiàn,آسف,非常抱歉，让你久等了。 (169),أنا آسف جداً، جعلتك تنتظر طويلاً.
HSK 4,本来,běnlái,في الأصل,我本来想去，但是突然有事。 (170),كنت أنوي الذهاب في الأصل، ولكن ظهر لي أمر مفاجئ.
